timestamp,mutant_id,model,response_model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
2026-07-08T13:23:12.981975+00:00,Lang_10f_full_146,gpt-4o-mini,gpt-4o-mini-2024-07-18,298,46,344,7.23e-05
2026-07-08T13:23:14.569350+00:00,Lang_10f_full_1483,gpt-4o-mini,gpt-4o-mini-2024-07-18,320,52,372,7.92e-05
2026-07-08T13:23:16.376192+00:00,Lang_10f_full_1492,gpt-4o-mini,gpt-4o-mini-2024-07-18,328,45,373,7.62e-05
2026-07-08T13:23:17.785394+00:00,Lang_10f_full_1498,gpt-4o-mini,gpt-4o-mini-2024-07-18,339,38,377,7.365e-05
2026-07-08T13:23:19.751520+00:00,Lang_10f_full_1500,gpt-4o-mini,gpt-4o-mini-2024-07-18,348,41,389,7.68e-05
2026-07-08T13:23:21.495044+00:00,Lang_10f_full_1507,gpt-4o-mini,gpt-4o-mini-2024-07-18,353,46,399,8.055e-05
2026-07-08T13:23:23.057197+00:00,Lang_10f_full_1508,gpt-4o-mini,gpt-4o-mini-2024-07-18,338,42,380,7.589999999999999e-05
2026-07-08T13:23:24.655734+00:00,Lang_10f_full_1510,gpt-4o-mini,gpt-4o-mini-2024-07-18,334,47,381,7.829999999999999e-05
2026-07-08T13:23:26.259763+00:00,Lang_10f_full_1513,gpt-4o-mini,gpt-4o-mini-2024-07-18,321,45,366,7.515e-05
2026-07-08T13:23:28.123378+00:00,Lang_10f_full_1514,gpt-4o-mini,gpt-4o-mini-2024-07-18,335,36,371,7.185e-05
2026-07-08T13:23:29.689032+00:00,Lang_10f_full_1534,gpt-4o-mini,gpt-4o-mini-2024-07-18,341,41,382,7.575e-05
2026-07-08T13:23:31.088005+00:00,Lang_10f_full_1545,gpt-4o-mini,gpt-4o-mini-2024-07-18,332,49,381,7.92e-05
2026-07-08T13:23:32.592609+00:00,Lang_10f_full_1552,gpt-4o-mini,gpt-4o-mini-2024-07-18,342,45,387,7.83e-05
2026-07-08T13:23:34.270373+00:00,Lang_10f_full_1575,gpt-4o-mini,gpt-4o-mini-2024-07-18,349,43,392,7.815e-05
2026-07-08T13:23:35.892849+00:00,Lang_10f_full_1587,gpt-4o-mini,gpt-4o-mini-2024-07-18,349,44,393,7.875e-05
2026-07-08T13:23:37.642507+00:00,Lang_10f_full_159,gpt-4o-mini,gpt-4o-mini-2024-07-18,352,46,398,8.04e-05
2026-07-08T13:23:39.508596+00:00,Lang_10f_full_1591,gpt-4o-mini,gpt-4o-mini-2024-07-18,352,42,394,7.8e-05
2026-07-08T13:23:41.158267+00:00,Lang_10f_full_1593,gpt-4o-mini,gpt-4o-mini-2024-07-18,349,46,395,7.995e-05
2026-07-08T13:23:43.030912+00:00,Lang_10f_full_1602,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,38,434,8.219999999999999e-05
2026-07-08T13:23:45.011140+00:00,Lang_10f_full_1635,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,37,433,8.159999999999999e-05
2026-07-08T13:23:46.547619+00:00,Lang_10f_full_1641,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,37,433,8.159999999999999e-05
2026-07-08T13:23:48.591575+00:00,Lang_10f_full_1648,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,42,438,8.46e-05
2026-07-08T13:23:50.317458+00:00,Lang_10f_full_165,gpt-4o-mini,gpt-4o-mini-2024-07-18,356,46,402,8.099999999999999e-05
2026-07-08T13:23:51.932475+00:00,Lang_10f_full_1671,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,44,440,8.58e-05
2026-07-08T13:23:53.593990+00:00,Lang_10f_full_1680,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,39,435,8.28e-05
2026-07-08T13:23:55.224670+00:00,Lang_10f_full_1687,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,45,441,8.64e-05
2026-07-08T13:23:57.087610+00:00,Lang_10f_full_1696,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,38,434,8.219999999999999e-05
2026-07-08T13:23:58.927435+00:00,Lang_10f_full_17,gpt-4o-mini,gpt-4o-mini-2024-07-18,350,38,388,7.53e-05
2026-07-08T13:24:00.727410+00:00,Lang_10f_full_1704,gpt-4o-mini,gpt-4o-mini-2024-07-18,395,41,436,8.384999999999999e-05
2026-07-08T13:24:02.525134+00:00,Lang_10f_full_1706,gpt-4o-mini,gpt-4o-mini-2024-07-18,396,51,447,8.999999999999999e-05
2026-07-08T13:24:04.259758+00:00,Lang_10f_full_1717,gpt-4o-mini,gpt-4o-mini-2024-07-18,364,40,404,7.86e-05
2026-07-08T13:24:05.925521+00:00,Lang_10f_full_172,gpt-4o-mini,gpt-4o-mini-2024-07-18,277,46,323,6.915e-05
