id,author,title,publication_year,venue,search_string
54,Jesús Carreño-Bolufer|Giovanni Giachetti|Óscar Pastor,Towards Model-Driven Testing for Assuring the Quality of Large Language Models,2025,Lecture notes in computer science,string 1
55,Zhao Tian|Honglin Shu|Dong Wang|Xuejie Cao|Yasutaka Kamei|Junjie Chen,Large Language Models for Equivalent Mutant Detection: How Far Are We?,2024,arXiv (Cornell University),string 1
56,Antonio Mastropaolo,The Virtue of Hallucination: When AI Mistakes Make Software Safer,2026,Computer,string 1
57,Zeming Wei|Yihao Zhang|Meng Sun,MILE: A Mutation Testing Framework of In-Context Learning Systems,2024,arXiv (Cornell University),string 1
58,Zeming Wei|Guanzhang Yue|Yihao Zhang|Meng Sun,On Mutation Testing of In-Context Learning Systems,2026,Journal of Systems Architecture,string 1
59,Asma Hamidi|Ahmed Khanfir|Mike Papadakis,Intent-Based Mutation Testing: From Naturally Written Programming Intents to Mutants,2025,,string 1
60,Vijayamahantesh|A Boloor A|E Naresh|Piyush Kumar Pareek,TestAgentX: Leveraging Large Language Models and Reinforcement Learning for Scalable and Adaptive Software Testing,2026,,string 1
61,Hongqin Lyu|Yonghao Wang|Yunlin Du|Mingyu Shi|Zhiteng Chao|W. Li|Tiancheng Wang|Hui Li,AssertGen: Enhancement of LLM-aided Assertion Generation through Cross-Layer Signal Bridging,2025,,string 1
62,"Haroon, Sabaat|Khan, Ahmad Faraz|Humayun, Ahmad|Gill, Waris|Amjad, Abdul Haddi|Butt, Ali R.|Khan, Mohammad Taha|Gulzar, Muhammad Ali",Assessing the Impact of Code Changes on the Fault Localizability of Large Language Models,2025,arXiv (Cornell University),string 1
63,Arshia Hemmat|Fatame Aghababaei|Mohammadreza Sharbaf|Shekoufeh Kolahdouz-Rahimi,Advanced Mutation Testing with Zero and Few-Shot Evaluation Using GPT-V4,2025,,string 1
64,Pengyu Chang|Yixiong Fang|SILIN CHEN|Yanan Shi|Beijun Shen|Xiaodong Gu,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,2026,arXiv (Cornell University),string 1
