ID,Title,Author,Venue,SearchString,,,,,,,,,,,
130,Challenges of deploying code embeddings: an industrial case study on method name generation,"Fein, Benedikt; Jungwirth, Maximilian; Fraser, Gordon; Kandlinger, Florian",Automated Software Engineering,String A,,,,,,,,,,,
131,ExVerus: Verus Proof Repair via Counterexample Reasoning,"Yang, Jun; Sun, Yuechun; Wu, Yi; Caridad, Rodrigo; Yuan, Yongwei; Yao, Jianan; Lu, Shan; Pei, Kexin",,String A,,,,,,,,,,,
132,METHOD FOR AUTOMATIC TEST SUITE REDUCTION WITHOUT LOSS OF DETECTED DEFECTS,"Komleva, O. O.",ВЧЕНІ ЗАПИСКИ,String A,,,,,,,,,,,
133,WebMAC: A Multi-Agent Collaborative Framework for Scenario Testing of Web Systems,"Wan, Zhenyu; Chen, Gong; Huang, Qing; Xie, Xiaoyuan",,String A,,,,,,,,,,,
134,VeriContest: A Competitive-Programming Benchmark for Verifiable Code Generation,"Xie, Zichen; Pawagi, Mrigank; Liu, Yuxin; Rai, Aaditi; Shao, Lize; Berberian, John; Che, Sicong; Wang, Wenxi",,String A,,,,,,,,,,,
135,NOETHER: A Constructive Framework for Metamorphic Pattern Discovery from Operator Algebras,"Li, Meng; Yang, Xiaohua; Liu, Jie; Yan, Shiyu",,String A,,,,,,,,,,,
136,"AI-Powered Vulnerability Detection and Patch Management in Cybersecurity: A Systematic Review of Techniques, Challenges, and Emerging Trends","Malkawi, Malek; Alhajj, Reda",Machine Learning and Knowledge Extraction,String A,,,,,,,,,,,
137,Comparative Evaluation of End-to-End Automated Testing Tools for Web Applications: Cypress vs. Playwright,"Amarif, Mabroukah; Imhmed, Hisham; Awidat, Fatma; Ahwidy, Mansour; Ahmed, Khamiss",2026 IEEE 5th International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA),String A,,,,,,,,,,,
138,Debugging Performance Issues in WebAssembly Runtimes via Mutation-based Inference,"Zeng, Ruiying; Jiang, Shuyao; Zhao, Wenxuan; Zhou, Yangfan",,String A,,,,,,,,,,,
139,Mechanistic Interpretability and Automated Formal Verificationfor Robustness in Multimodal LLMs. for Robustness in Multimodal LLMs.,"Ranade, Kaushik Tushar",,String A,,,,,,,,,,,
140,REVIEW OF TOOLS AND TECHNIQUES SHNYAR ABDULSALAM^1,"SHAMSALDIN, AHMED S.; RASHID, TARIK A.",The Societal Benefits of AI Interventions and Intelligent Technology,String A,,,,,,,,,,,
141,Narrowing the Complexity Gap in the Evaluation of Large Language Models,"Chen, Yang; Liu, Shuyang; Jabbarvand, Reyhaneh",,String A,,,,,,,,,,,
142,Enhancing Test-Driven Development with Semi-Automated Test Case Generation Using Input Space Partitioning,"Yeganeh, Mohsen Shojaei; Mirian-Hosseinabadi, Seyed-Hassan",2026 12th International Conference on Web Research (ICWR),String A,,,,,,,,,,,
143,"Talk is Cheap, Logic is Hard: Benchmarking LLMs on Post-Condition Formalization","Prasetya, I. S. W. B.; Kifetew, Fitsum; Prandi, Davide",,String A,,,,,,,,,,,
144,TypeNFuzz: Dynamic Type-aware Object Dependence Graph-Guided Fuzzing for JavaScript Library Bug Discovery,"Zeng, Yishun; Wu, Yue; Zhang, Chao",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
145,SWE Atlas: Benchmarking Coding Agents Beyond Issue Resolution,"Raghavendra, Mohit; Dan, Soham; Calvo, Miguel Romero; He, Yannis Yiming; Mols, Johannes Baptist; Anand, Gautam; McCollum, Cole; Arakelyan, Edgar; Bharadwaj, Vijay; Park, Andrew; Da, Jeff; Rezaei, MohammadHossein; Liu, Bing; Kenstler, Brad; He, Yunzhong",,String A,,,,,,,,,,,
146,Advancing Language Models for Code-related Tasks,"Tian, Zhao",,String A,,,,,,,,,,,
147,When Help Hurts: Verification Load and Fatigue with AI Coding Assistants,"Fan, Guangrui; Liu, Dandan; Pan, Lihu; Zhang, Rui",Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A,,,,,,,,,,,
148,CurricuForge: A Unified Framework for Progressive Code Generation Through Curriculum-Guided Multi-Agent Collaboration With Symbolic Verification,"Wang, Zhuojin",IEEE Access,String A,,,,,,,,,,,
149,Boosting Metamorphic Testing: A General Metamorphic Specification Language and A Supporting System,"Sun, Chang-ai; Wu, Siyi; Zhang, XiaoYi; Poon, Pak-Lok",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
150,The Role of Algorithms in Advancing Software Engineering: A Comprehensive Study,"Wariyal, Suresh Chandra; Pandey, Nitin; Negi, Deepak; Khare, Ashish B.",DMPedia Lecture Notes in Multidisciplinary Research,String A,,,,,,,,,,,
151,A Roadmap for Modern Code Review: Challenges and Opportunities,"Yang, Zezhou; Gao, Cuiyun; Guo, Zhaoqiang; Li, Zhenhao; Liu, Kui; Xia, Xin; Zhou, Yuming",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
152,FROM BENCHMARK SCORES TO DEPLOYMENT READINESS: A JOURNAL-SCALE EVALUATION FRAMEWORK FOR AUTONOMOUS SOFTWARE DEVELOPMENT AGENTS,"Samal, Partha Sarathi; Palus, Suresh Kumar; Padmam, Sai Kiran",,String A,,,,,,,,,,,
153,ZeroCoder: Can LLMs Improve Code Generation Without Ground-Truth Supervision?,"Fan, Lishui; Chen, Mouxiang; Zhu, Tingwei; Liu, Kui; Xia, Xin; Li, Shanping; Liu, Zhongxin",,String A,,,,,,,,,,,
154,An empirical analysis of vulnerability detection tools for solidity smart contracts,"Salzano, Francesco; Antenucci, Cosmo Kevin; Scalabrino, Simone; Rosa, Giovanni; Oliveto, Rocco; Pareschi, Remo",Empirical Software Engineering,String A,,,,,,,,,,,
155,Software Vulnerability Detection Using a Lightweight Graph Neural Network,"Farmer, Miles; Ufuktepe, Ekincan; Watson, Anne; Carvalho, Hialo Muniz; Okun, Vadim; Maasaoui, Zineb; Palaniappan, Kannappan",,String A,,,,,,,,,,,
156,CCIHunter: Enhancing Smart Contract Code–Comment Inconsistencies Detection via Two-Stage Pre-Training,"Li, Ziwei; Wu, Jiajing; Wu, Zhiying; Tan, Dongcheng; Zou, Weipeng; Jiang, Zigui; Zhen, Yi; Zhang, Zheng; Zheng, Zibin",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
157,Assessing Task-based Chatbots: Snapshot and Curated Datasets for Dialogflow,"Masserini, Elena; Clerissi, Diego; Micucci, Daniela; Mariani, Leonardo",,String A,,,,,,,,,,,
158,When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure,"Ma, Jie; He, Ningyu; Xi, Jinwen; Xing, Mingzhe; Liu, Liangxin; Luo, Jiushenzi; Fu, Xiaopeng; Wu, Chiachih; Wang, Haoyu; Gao, Ying; Yue, Yinliang",Proceedings of the ACM on Programming Languages,String A,,,,,,,,,,,
159,Eywa: Automating {Model-Based} Testing using {LLMs},"Mondal, Rajdeep; Singha, Rathin; Millstein, Todd; Varghese, George; Beckett, Ryan; Kakarla, Siva Kesava Reddy",23rd USENIX Symposium on Networked Systems Design and Implementation (NSDI 26),String A,,,,,,,,,,,
160,A Machine Learning Approach to Enhanced Software Quality Through the Automated Creation of Unit Tests,"Nelson, Morgan S.",,String A,,,,,,,,,,,
161,ICLScan: Detecting backdoors in black-box large language models via targeted in-context illumination,"Pang, Xiaoyi; Hao, Xuanyi; Guo, Song; Luo, Qi; Wang, Zhibo",Advances in Neural Information Processing Systems,String A,,,,,,,,,,,
162,Baseline Capture and Drift Index: A Framework for Validating AI-Assisted Changes in Existing Web Systems,"Muratovic, Ajdin; Tanovic, Anel",2026 25th International Symposium INFOTEH-JAHORINA (INFOTEH),String A,,,,,,,,,,,
163,A Survey of Domain-specific Fine-tuned Large Language Models,"Sarzaeim, Paria; Azim, Akramul; Bauer, Gary; Makrehchi, Masoud",IEEE Access,String A,,,,,,,,,,,
164,"Adaptive and Explainable Test Case Prioritization in Continuous Integration: A Systematic Review of Reinforcement Learning, Learning-to-Rank, and Search-/Combinatorial-Based Methods","Kongarana, Srinivasa Rao; Rao, A. Ananda; Raju, P. Radhika",IEEE Access,String A,,,,,,,,,,,
165,Unleashing the Potential of Coverage Representation in Deep Learning-Based Fault Localization,"Wang, Jinping; Lei, Yan; Xie, Huan; Liu, Chunyan",IEEE Transactions on Software Engineering,String A,,,,,,,,,,,
166,Property-Based Testing and Delta Debugging for Quantum Programs,"Pontolillo, Gabriel Joseph",,String A,,,,,,,,,,,
167,"A Comprehensive Survey on Database Management System Fuzzing: Techniques, Taxonomy and Evaluation","Gao, Xiyue; Liu, Zhuang; Cui, Jiangtao; Li, Hui; Zhang, Hui; Wei, Kewei; Zhao, Kankan",ACM Computing Surveys,String A,,,,,,,,,,,
168,Triggering and Detecting Exploitable Library Vulnerability from the Client by Directed Greybox Fuzzing,"Zhao, Yukai; Wu, Menghan; Hu, Xing; Wang, Shaohua; Luo, Meng; Xia, Xin",,String A,,,,,,,,,,,
169,CorrEvator: Evaluating Patch Correctness in Automated Program Repair from Online Community Discussions,"Wang, Yuyang; Guo, Shikai; Tao, Zijian; Li, Hui; Tan, Jiaxi; Hao, Liying; Zhu, Fa; Chen, Xingchi; Youssef, Moustafa",IEEE Transactions on Consumer Electronics,String A,,,,,,,,,,,
170,Evaluating Modern Software Design Trends for Efficient and Maintainable Application Development,"Pokhrel, Ashish",2026 IEEE 5th International Conference on AI in Cybersecurity (ICAIC),String A,,,,,,,,,,,
171,Metamorphic Testing for Infrastructure-as-Code Engines,"Spielmann, David; Zakhour, George; Arnold, Dominik; Biagiola, Matteo; Meier, Roland; Salvaneschi, Guido",Proceedings of the ACM on Programming Languages,String A,,,,,,,,,,,
172,On the Evolution of Python Test Cases into Property-based Tests,"Wauters, Cindy; Opdebeeck, Ruben; De Roover, Coen","Proceedings of the 19th IEEE International Conference on Software Testing, Verification and Validation (ICST) 2026",String A,,,,,,,,,,,
173,Analyzing Message-Code Inconsistency in AI Coding Agent-Authored Pull Requests,"Gong, Jingzhi; Pinna, Giovanni; Bian, Yixin; Zhang, Jie M.",,String A,,,,,,,,,,,
174,Comparing static analyses for improved semantic conflict detection,"Santos De Jesus, Galileu; Borba, Paulo; Bonifácio, Rodrigo; Barbosa De Oliveira, Matheus",Automated Software Engineering,String A,,,,,,,,,,,
175,VAR Check: Quality Analysis of Reinforcement Learning Programs Using Voronoi Diagrams,"Rodriguez, Laura; Dusparic, Ivana; Cardozo, Nicolás",SN Computer Science,String A,,,,,,,,,,,
176,GRANDSLAM: Linearly Scalable Model Synthesis,"Boll, Alexander",,String A,,,,,,,,,,,
177,Generating Architecture-Agnostic Performance Tests from Functional Unit Tests,"Vega Rodriguez, Daniel; Omlin, Samuel; Pasadakis, Dimosthenis; Schenk, Olaf",ACM Transactions on Modeling and Performance Evaluation of Computing Systems,String A,,,,,,,,,,,
178,ARQUITETURA DE SOFTWARE,"SENSU, LATO",,String A,,,,,,,,,,,
179,Energy valley optimizer-based metaheuristic approach for solving software test case optimization problem,"Jaiswal, Updesh Kumar; Jain, Jaishree; Jain, Eshank; Saini, Harnit; Singh, Pancham",Iran Journal of Computer Science,String A,,,,,,,,,,,
180,Automated Optimization of Bacterial Tracking Pipelines With TrackMate 8,"Anselmet, Marie; Xénard, Laura; Albert, Marvin; Arias‐Cartin, Rodrigo; Hicham, Samia; Pokorny, Laura; Paulet, Élodie; Petit, Julienne; Cutler, Kevin J.; Gallusser, Benjamin; Weigert, Martin; Wehenkel, Anne‐Marie; Manina, Giulia; Gomperts Boneca, Ivo; Barras, Frédéric; Bonazzi, Daria; Duménil, Guillaume; Tinevez, Jean‐Yves",Current Protocols,String A,,,,,,,,,,,
181,Mitigating Metamorphic Malware Through Adversarial Learning Techniques,"Babaagba, Kehinde O.; Tan, Zhiyuan",Network,String A,,,,,,,,,,,
182,Mitigating omitted variable bias in empirical software engineering,"Furia, Carlo A.; Torkar, Richard",Empirical Software Engineering,String A,,,,,,,,,,,
183,Learning by Viewing: Generating Test Inputs for Games by Integrating Human Gameplay Traces in Neuroevolution,"Feldmeier, Patric; Fraser, Gordon",ACM Transactions on Evolutionary Learning and Optimization,String A,,,,,,,,,,,
184,A formalization of Heisenbugs and their causes in terms of hyperproperties,"Sallinger, Sarah; Weissenbacher, Georg; Zuleger, Florian",Software and Systems Modeling,String A,,,,,,,,,,,
185,Gamification of conceptual modeling education with UML class diagrams: an experimental analysis,"Garaccione, Giacomo; Coppola, Riccardo; Ardito, Luca; Torchiano, Marco",Software and Systems Modeling,String A,,,,,,,,,,,
186,ІНФОРМАЦІЙНА ТЕХНОЛОГІЯ ФОРМУВАННЯ ТА ОЦІНЮВАННЯ ЯКОСТІ ПРОЦЕСУ ТЕСТУВАННЯ ПРОГРАМНОГО ЗАБЕЗПЕЧЕННЯ,"БІЛИК, ОЛЕКСІЙ ЗІНОВІЙОВИЧ",,String A,,,,,,,,,,,
187,Cutting Edge Deep Learning Models for Brain Tumor Classification,"Özger, Faruk; Pacal, Ishak; Sökmen, Dilan",Gazi University Journal of Science,String A,,,,,,,,,,,
188,"Why Should a Genome Be Protected? Ethical, Legal, and Security Challenges in the Protection of Genomic Data","Szalata, Marlena; Danielewski, Mikołaj; Wielgus, Karolina; Słomski, Ryszard",Biology,String A,,,,,,,,,,,
189,Engineering the Digital World-The Brain Behind Technology Computing Demystified,"Venkatakrishnan, Jambhu Kumar",,String A,,,,,,,,,,,
190,Сложности использования метрик для обработки естественного языка при оценке сгенерированного кода,"Федрушков, Д. В.; Ковальчук, С. В.; Алиев, А. А.","Научно-технический вестник информационных технологий, механики и оптики",String A,,,,,,,,,,,
191,Оптимізація сценаріїв для автоматизованого тестування,"Бєглова, А. В.",Кваліфікаційні магістерські роботи,String A,,,,,,,,,,,
192,Impact Of Practical Learning Input On College Students’ Academic Achievement Using A Regression Analysis Study,"Zhang, Min; Yin, Lina",Journal of Applied Science and Engineering,String B,,,,,,,,,,,
193,Evaluating Static Mutant Selection Techniques for Accurate Mutation Score Approximation,"Ashong, Magdalene; Laurent, Thomas; Ventresque, Anthony","2025 25th International Conference on Software Quality, Reliability and Security (QRS)",String B,,,,,,,,,,,
194,Exploring pseudo-testedness: Empirically evaluating extreme mutation testing at the statement level,"Maton, Megan; Kapfhammer, Gregory M.; McMinn, Phil",2024 IEEE International Conference on Software Maintenance and Evolution (ICSME),String B,,,,,,,,,,,
195,Using Active Learning to Train Predictive Mutation Testing with Minimal Data,"Borsi, Miklós",2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),String B,,,,,,,,,,,
196,Spotting Code Mutation for Predictive Mutation Testing,"Zhao, Yifan; Chen, Yizhou; Sun, Zeyu; Liang, Qingyuan; Wang, Guoqing; Hao, Dan",Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String B,,,,,,,,,,,
197,IMPROVING THE EFFECTIVENESS OF METAMORPHIC TESTING USING SYSTEMATIC TEST CASE GENERATION,"Saha, Prashanta",,String B,,,,,,,,,,,
198,Enhancing software quality assurance in ubiquitous learning environments through mutation testing and diverse test oracles,"Naeem, Muhammad Rashid; Khan, Muhammad Asghar; Khan, Mansoor; Alruwaili, Omar; Alrashdi, Ibrahim; Alanazi, Saad",Computers in Human Behavior,String B,,,,,,,,,,,
199,Latent Mutants: A large-scale study on the Interplay between mutation testing and software evolution,"Sohn, Jeongju; Soremekun, Ezekiel; Papadakis, Michail",,String B,,,,,,,,,,,
200,Enriching mutation testing with innovative method invocation mutation: Filling the crucial missing piece of the puzzle,"Zhang, Peng; Lu, Zeyu; Wang, Yang; Yang, Yibiao; Zhou, Yuming; Papadakis, Mike",IEEE Transactions on Software Engineering,String B,,,,,,,,,,,
201,Mutation testing optimisations using the Clang front‐end,"Vercammen, Sten; Demeyer, Serge; Borg, Markus; Pettersson, Niklas; Hedin, Görel","Software Testing, Verification and Reliability",String B,,,,,,,,,,,
202,Mutation-Guided LLM-based Test Generation at Meta,"Harman, Mark; Ritchey, Jillian; Harper, Inna; Sengupta, Shubho; Mao, Ke; Gulati, Abhishek; Foster, Christopher; Robert, Hervé",Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B,,,,,,,,,,,
203,LEAM++: Learning for Selective Mutation Fault Construction,"Tian, Zhao; Chen, Junjie; Wang, Dong; Zhu, Qihao; Fan, Xingyu; Zhang, Lingming",ACM Transactions on Software Engineering and Methodology,String B,,,,,,,,,,,
204,Intent-Based Mutation Testing: From Naturally Written Programming Intents to Mutants,"Hamidi, Asma; Khanfir, Ahmed; Papadakis, Mike","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",String B,,,,,,,,,,,
205,Next-Gen Mutation Testing: Using AI and Fuzzing to Evolve Fault Injection for Modern Software,"Kathiresan, Gopinath",Available at SSRN 5241045,String B,,,,,,,,,,,
206,Test data generation for mutation testing based on Markov chain usage model and estimation of distribution algorithm,"Wei, Changqing; Yao, Xiangjuan; Gong, Dunwei; Liu, Huai",IEEE Transactions on Software Engineering,String B,,,,,,,,,,,
207,SAM–Symultanic Automated Mutation System for Software Development,"Roman, Adam; Mnich, Michal",Available at SSRN 5414105,String B,,,,,,,,,,,
208,Mutation analysis for evaluating code translation,"Guizzo, Giovani; Zhang, Jie M.; Sarro, Federica; Treude, Christoph; Harman, Mark",Empirical Software Engineering,String B,,,,,,,,,,,
209,Mutation Testing Reinvented: How Artificial Intelligence Complements Classic Methods,"Uzunbayir, Serhat; Kurtel, Kaan",2024 9th International Conference on Computer Science and Engineering (UBMK),String B,,,,,,,,,,,
210,Parallel mutation testing for large scale systems,"Cañizares, Pablo C.; Núñez, Alberto; Filgueira, Rosa; De Lara, Juan",Cluster Computing,String B,,,,,,,,,,,
211,Mutation-based Consistency Testing for Evaluating the Code Understanding Capability of LLMs,"Li, Ziyu; Shin, Donghwan",Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI,String B,,,,,,,,,,,
212,ReSuMo: a regression strategy and tool for mutation testing of solidity smart contracts,"Barboni, Morena; Morichetta, Andrea; Polini, Andrea; Casoni, Francesco",Software Quality Journal,String B,,,,,,,,,,,
213,Faster mutation testing through simultaneous mutation testing,"de Roos, Mart; Rensink, A.; van Hees, R.",,String B,,,,,,,,,,,
214,An Adaptive Mutation-Aware Test Case Ordering Framework Using Deep Learning and Quantum-Behaved Multi-Objective PSO.,"Sowmyadevi, S.; Alphy, Anna",Journal of Intelligent Systems & Internet of Things,String B,,,,,,,,,,,
215,WITNESS: A lightweight and practical approach to fine-grained predictive mutation testing,"Lu, Zeyu; Zhang, Peng; Chong, Chun Yong; Gao, Shan; Yang, Yibiao; Li, Yanhui; Chen, Lin; Zhou, Yuming",,String B,,,,,,,,,,,
216,CAMUS: Context-Aware Neural Mutation Selection,"Chen, Mingda; Wang, Bo; Lin, Youfang; Zhang, Jie M.",2025 32nd Asia-Pacific Software Engineering Conference (APSEC),String B,,,,,,,,,,,
217,Mutants and Test Cases Reduction Strategy for Fault Localization via Graph Representation,"Li, Zheng; Yang, Binbin; Deng, Yue; Wu, Shumei; Liu, Yong","2025 25th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",String B,,,,,,,,,,,
218,On Accelerating Deep Neural Network Mutation Analysis,"Lyons, Lauren",,String B,,,,,,,,,,,
219,An Evolutionary Algorithm and a Clustering Technique to Select,"Benito-Parejo, Miguel; Méndez, Manuel; Merayo, Mercedes G.","Advances in Computational Collective Intelligence: 16th International Conference, ICCCI 2024, Leipzig, Germany, September 9–11, 2024, Proceedings, Part II",String B,,,,,,,,,,,
220,Assessing Effectiveness of Test Suites: What Do We Know and What Should We Do?,"Zhang, Peng; Wang, Yang; Liu, Xutong; Lu, Zeyu; Yang, Yibiao; Li, Yanhui; Chen, Lin; Wang, Ziyuan; Sun, Chang-Ai; Yu, Xiao; Zhou, Yuming",ACM Transactions on Software Engineering and Methodology,String B,,,,,,,,,,,
221,MUPPAAL: Efficient Elimination and Reduction of Useless Mutants in Real‐Time Model‐Based Systems,"Cuartas, Jaime; Cortés, David; Betancourt, Joan; Aranda, Jesús; Cordy, Maxime; Ortiz, James; Perrouin, Gilles; Schobbens, Pierre‐Yves","Software Testing, Verification and Reliability",String B,,,,,,,,,,,
222,An Evolutionary Algorithm and a Clustering Technique to Select Good Subsets of Test for Finite State Machines,"Benito-Parejo, Miguel; Méndez, Manuel; Merayo, Mercedes G.",Advances in Computational Collective Intelligence,String B,,,,,,,,,,,
223,RATEN: an efficient robustness analysis and test enhancement framework for state machines,"Babaei, Majid; Guéhéneuc, Yann-Gaël",Software and Systems Modeling,String B,,,,,,,,,,,
224,MBFL-DKMR: Improving Mutation-based Fault Localization through Denoising-based Kill Matrix Refinement,"Liu, Hengyuan; Song, Xia; Liu, Yong; Li, Zheng",,String B,,,,,,,,,,,
225,On accelerating deep neural network mutation analysis by neuron and mutant clustering,"Lyons, Lauren; Ghanbari, Ali","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",String B,,,,,,,,,,,
226,Decomposition of Deep Neural Networks into Modules via Mutation Analysis,"Ghanbari, Ali",Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,,,,,,,,,,,
227,Enhancing Smart Contract Reliability: Dynamic Approaches for Quality Assurance,"Barboni, Morena",,String B,,,,,,,,,,,
228,"FLIMs: Fault Localization Interference Mutants, Definition, Recognition and Mitigation","Liu, Hengyuan; Li, Zheng; Wang, Donghua; Wu, Yankai; Chen, Xiang; Liu, Yong",,String B,,,,,,,,,,,
229,Speeding Up Genetic Improvement via Regression Test Selection,"Guizzo, Giovani; Williams, David; Harman, Mark; Petke, Justyna; Sarro, Federica",ACM Transactions on Software Engineering and Methodology,String B,,,,,,,,,,,
230,Optimizing Mutation-Based Fault Localization Through Contribution-Based Test Case Reduction,"Wang, Haifeng; Yang, Kun; Wu, Tong",International Journal of Software Engineering and Knowledge Engineering,String B,,,,,,,,,,,
231,Evaluating LLMs for One-Shot Patching of Real and Artificial Vulnerabilities,"Garg, Aayush; Khan, Zanis Ali; Degiovanni, Renzo; Tang, Qiang",,String B,,,,,,,,,,,
232,Benchmarking of unit tests generated by LLM,"Tuchyňa, Dominik",,String B,,,,,,,,,,,
233,Automatic Fault Localization in the context of Automatic Program Repair,"Vacheret, Romain",,String B,,,,,,,,,,,
234,"AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tools, and Challenges","Faraji, Aazaade; Pombo, Nuno",IEEE Access,String B,,,,,,,,,,,
235,Unlocking Optimal ORM Database Designs: Accelerated Tradeoff Analysis with Transformers,"Hasan, Md Rashedul; Hasan, Mohammad Rashedul; Bagheri, Hamid",Proceedings of the ACM on Software Engineering,String B,,,,,,,,,,,
236,SURE: A Visualized Failure Indexing Approach Using Program Memory Spectrum,"Song, Yi; Zhang, Xihao; Xie, Xiaoyuan; Chen, Songqiang; Liu, Quanming; Gao, Ruizhi",ACM Transactions on Software Engineering and Methodology,String B,,,,,,,,,,,
237,Neural Bug Detection,"Richter, Cedric",,String B,,,,,,,,,,,
238,Beyond Code Generation: Assessing Code LLM Maturity with Postconditions,"He, Fusen; Zhai, Juan; Pan, Minxue",,String B,,,,,,,,,,,
239,A Comparative Evaluation of Search-Based and Mutation-Driven LLM Test Generation: Pynguin and MuTAP,"Tabassum, Radia",,String C,,,,,,,,,,,
240,Defining and Estimating Mutation Technical Debt: A Governance Metric for Mutation Testing Management,"Vincenzi, Auri; Paiva, Ana CR; Delamaro, Marcio E.; Maldonado, José Carlos",Available at SSRN 6799070,String C,,,,,,,,,,,
241,Improving students’ testing skill through mutation testing with modified feedback and training,"Mansur, Rifat Sabbir; Domino, Molly; Thompson, Jennifer Alexandra; Shaffer, Clifford A.; Edwards, Stephen H.",Computer Science Education,String C,,,,,,,,,,,
242,Illuminating Integration: A Critical Examination of Test Coverage Reporting in Continuous Integration Environments,"Reynolds, Michael A.",International Journal Of Engineering And Computer Science,String C,,,,,,,,,,,
243,An empirical evaluation of white-box and black-box test case prioritization techniques in CPSs modeled in Simulink,"Arrieta, Aitor",Empirical Software Engineering,String C,,,,,,,,,,,
244,A Systematic Literature Review on Design for Testability Approaches in Software Systems,"Abbasi, Narges; Parsa, Saeed; Zakeri, Morteza",ACM Computing Surveys,String C,,,,,,,,,,,
245,Industrial Application of Deep Learning based Fault Localization with Mutation Features,"Yang, Heechan; Lee, Ahcheong; Cho, Kyutae; Kim, Yunsam",,String C,,,,,,,,,,,
246,Unsupervised Software Defect Prediction in Haskell: A Metrics-Driven Ensemble Approach Using Function-Level Thresholding,"Kumar, Rakesh; Chaturvedi, Amrita",Arabian Journal for Science and Engineering,String C,,,,,,,,,,,
247,Is Fault Localization Effective on Industrial Software? A Case Study on Computer-Aided Engineering Projects,"Ren, Zhilei; Ma, Yue; Li, Xiaochen; Guo, Shikai; Jiang, He",ACM Transactions on Software Engineering and Methodology,String C,,,,,,,,,,,
248,From Separate Compilation to Sound Language Composition,"Bruzzone, Federico; Cazzola, Walter; Favalli, Luca",arXiv preprint arXiv:2602.03777,String C,,,,,,,,,,,
249,DeFT: Maintaining Determinism and Extracting Module Tests for Autonomous Driving Planning,"Huai, Yuqi; Chen, Yuntianyi; Wan, Ziwen; Chen, Qi Alfred; Garcia, Joshua",,String C,,,,,,,,,,,
