subset,n_group,n_pairs,n_nonzero_pairs,mean_ms_gpt,mean_ms_random,median_ms_gpt,median_ms_random,win_gpt,win_random,tie,p_value,effect_size_rank_biserial,ran_test,reason_skipped
RQ1_pooled_all_projects,37,37,26,0.7844269227812158,0.725100390907822,0.8076923076923077,0.7142857142857143,17,9,11,0.05913203248161014,0.3504273504273504,True,
RQ1_subgroup_Codec,13,13,8,0.8751002908434461,0.8290291846354427,0.9230769230769231,0.9230769230769231,4,4,5,0.4921875,0.027777777777777776,True,
RQ1_subgroup_Csv,10,10,6,0.7604545454545455,0.6821212121212121,0.8090909090909091,0.7333333333333334,4,2,4,0.125,0.5714285714285714,True,
RQ1_subgroup_JacksonCore,14,14,12,0.7173533505281952,0.6592944958654662,0.6981607457797934,0.6383442265795207,9,3,2,0.101806640625,0.4358974358974359,True,
